Date,Open,High,Low,Close,Adj Close,Volume
2017-11-08,1.670000,1.780000,1.570000,1.730000,1.730000,11744600
2017-11-09,1.770000,1.920000,1.700000,1.890000,1.890000,12224900
2017-11-10,1.900000,2.000000,1.780000,1.780000,1.780000,11670700
2017-11-13,1.800000,1.890000,1.700000,1.880000,1.880000,10680900
2017-11-14,1.870000,1.870000,1.740000,1.780000,1.780000,7102400
2017-11-15,1.740000,1.770000,1.580000,1.620000,1.620000,7570700
2017-11-16,1.630000,1.680000,1.590000,1.630000,1.630000,4400800
2017-11-17,1.670000,1.740000,1.640000,1.740000,1.740000,5310600
2017-11-20,1.710000,1.710000,1.640000,1.670000,1.670000,4591000
2017-11-21,1.690000,1.720000,1.650000,1.690000,1.690000,5579300
2017-11-22,1.730000,1.770000,1.710000,1.770000,1.770000,5641600
2017-11-24,1.800000,1.810000,1.780000,1.800000,1.800000,2486000
2017-11-27,1.800000,1.800000,1.710000,1.730000,1.730000,5903200
2017-11-28,1.710000,1.770000,1.680000,1.760000,1.760000,3634200
2017-11-29,1.760000,1.790000,1.710000,1.790000,1.790000,4475000
2017-11-30,1.810000,1.990000,1.720000,1.750000,1.750000,20590800
2017-12-01,1.810000,1.930000,1.790000,1.910000,1.910000,17490500
2017-12-04,1.910000,2.100000,1.870000,1.900000,1.900000,15921700
2017-12-05,1.910000,1.920000,1.790000,1.810000,1.810000,11292800
2017-12-06,1.780000,1.800000,1.710000,1.740000,1.740000,6478400
2017-12-07,1.750000,1.800000,1.640000,1.720000,1.720000,9802200
2017-12-08,1.760000,1.780000,1.680000,1.740000,1.740000,7375800
2017-12-11,1.750000,1.770000,1.690000,1.720000,1.720000,7312100
2017-12-12,1.720000,1.740000,1.650000,1.680000,1.680000,7245900
2017-12-13,1.690000,1.700000,1.530000,1.600000,1.600000,13560500
2017-12-14,1.580000,1.640000,1.540000,1.620000,1.620000,6345900
2017-12-15,1.600000,1.640000,1.600000,1.610000,1.610000,10716500
2017-12-18,1.620000,1.700000,1.580000,1.670000,1.670000,6196400
2017-12-19,1.660000,1.750000,1.660000,1.670000,1.670000,5610700
2017-12-20,1.700000,1.780000,1.680000,1.770000,1.770000,4867100
2017-12-21,1.760000,1.980000,1.750000,1.960000,1.960000,9087300
2017-12-22,1.960000,2.090000,1.880000,2.010000,2.010000,9075600
2017-12-26,2.050000,2.190000,2.020000,2.120000,2.120000,6376100
2017-12-27,2.100000,2.160000,2.080000,2.130000,2.130000,6109500
2017-12-28,2.120000,2.180000,2.110000,2.160000,2.160000,6312200
2017-12-29,2.230000,2.250000,2.180000,2.210000,2.210000,8675200
2018-01-02,2.210000,2.330000,2.210000,2.290000,2.290000,8693500
2018-01-03,2.350000,2.450000,2.310000,2.320000,2.320000,12995500
2018-01-04,2.370000,2.400000,2.250000,2.380000,2.380000,10771700
2018-01-05,2.300000,2.370000,2.260000,2.310000,2.310000,8720500
2018-01-08,2.320000,2.360000,2.270000,2.280000,2.280000,10365800
2018-01-09,2.310000,2.370000,2.270000,2.270000,2.270000,13491700
2018-01-10,2.330000,2.330000,2.170000,2.250000,2.250000,10702000
2018-01-11,2.320000,2.360000,2.290000,2.350000,2.350000,9503900
2018-01-12,2.350000,2.430000,2.290000,2.430000,2.430000,6778100
2018-01-16,2.510000,2.560000,2.350000,2.350000,2.350000,15340000
2018-01-17,2.360000,2.540000,2.360000,2.470000,2.470000,9933900
2018-01-18,2.490000,2.540000,2.420000,2.450000,2.450000,8361600
2018-01-19,2.420000,2.450000,2.360000,2.440000,2.440000,8642900
2018-01-22,2.420000,2.500000,2.410000,2.480000,2.480000,5770600
2018-01-23,2.500000,2.520000,2.430000,2.520000,2.520000,7455000
2018-01-24,2.500000,2.550000,2.450000,2.530000,2.530000,7123600
2018-01-25,2.560000,2.600000,2.520000,2.550000,2.550000,10262600
2018-01-26,2.570000,2.600000,2.550000,2.570000,2.570000,4753500
2018-01-29,2.530000,2.600000,2.460000,2.590000,2.590000,8529400
2018-01-30,2.530000,2.540000,2.330000,2.460000,2.460000,22926800
2018-01-31,2.510000,2.510000,2.380000,2.430000,2.430000,6952500
2018-02-01,2.460000,2.520000,2.420000,2.460000,2.460000,7165200
2018-02-02,2.410000,2.450000,2.270000,2.280000,2.280000,8991600
2018-02-05,2.190000,2.270000,2.030000,2.070000,2.070000,16328700
2018-02-06,2.020000,2.100000,1.960000,2.080000,2.080000,11689600
2018-02-07,2.070000,2.190000,1.880000,1.910000,1.910000,12573900
2018-02-08,1.920000,1.950000,1.800000,1.840000,1.840000,9230000
2018-02-09,1.840000,1.890000,1.730000,1.860000,1.860000,9304100
2018-02-12,1.900000,2.070000,1.880000,2.040000,2.040000,6757000
2018-02-13,2.120000,2.130000,1.970000,1.990000,1.990000,6537500
2018-02-14,2.000000,2.190000,1.950000,2.170000,2.170000,6907800
2018-02-15,2.190000,2.190000,2.030000,2.150000,2.150000,5677300
2018-02-16,2.140000,2.330000,2.140000,2.260000,2.260000,9323800
2018-02-20,2.260000,2.320000,2.130000,2.150000,2.150000,6930900
2018-02-21,2.160000,2.190000,2.070000,2.080000,2.080000,5302100
2018-02-22,2.250000,2.420000,2.190000,2.420000,2.420000,10492000
2018-02-23,2.480000,2.520000,2.360000,2.470000,2.470000,9844400
2018-02-26,2.480000,2.480000,2.340000,2.350000,2.350000,6695100
2018-02-27,2.350000,2.360000,2.260000,2.290000,2.290000,7638200
2018-02-28,2.300000,2.310000,2.170000,2.190000,2.190000,6633000
2018-03-01,2.180000,2.290000,2.180000,2.190000,2.190000,7192100
2018-03-02,2.160000,2.320000,2.110000,2.300000,2.300000,8394300
2018-03-05,2.260000,2.380000,2.240000,2.340000,2.340000,5791700
2018-03-06,2.360000,2.400000,2.320000,2.360000,2.360000,4538900
2018-03-07,2.300000,2.380000,2.260000,2.300000,2.300000,5609500
2018-03-08,2.300000,2.310000,2.220000,2.280000,2.280000,4412400
2018-03-09,2.300000,2.350000,2.290000,2.350000,2.350000,5443900
2018-03-12,2.360000,2.450000,2.350000,2.430000,2.430000,6215600
2018-03-13,2.440000,2.520000,2.390000,2.400000,2.400000,6784900
2018-03-14,2.410000,2.450000,2.370000,2.440000,2.440000,4923000
2018-03-15,2.450000,2.490000,2.390000,2.430000,2.430000,3566000
2018-03-16,2.440000,2.500000,2.400000,2.480000,2.480000,14132500
2018-03-19,2.440000,2.470000,2.340000,2.380000,2.380000,4820700
2018-03-20,2.380000,2.490000,2.380000,2.470000,2.470000,4029400
2018-03-21,2.480000,2.740000,2.450000,2.710000,2.710000,14743500
2018-03-22,2.650000,2.760000,2.600000,2.600000,2.600000,10440000
2018-03-23,2.660000,2.800000,2.630000,2.690000,2.690000,11022600
2018-03-26,2.740000,2.840000,2.650000,2.820000,2.820000,11515800
2018-03-27,2.850000,2.890000,2.620000,2.640000,2.640000,12066200
2018-03-28,2.620000,2.740000,2.580000,2.660000,2.660000,11301900
2018-03-29,2.700000,2.810000,2.670000,2.740000,2.740000,9228700
2018-04-02,2.700000,2.730000,2.500000,2.550000,2.550000,12947700
2018-04-03,2.590000,2.700000,2.560000,2.650000,2.650000,9056500
2018-04-04,2.590000,2.720000,2.520000,2.710000,2.710000,9073100
2018-04-05,2.800000,2.860000,2.780000,2.840000,2.840000,11348300
2018-04-06,2.800000,2.880000,2.710000,2.780000,2.780000,8592800
2018-04-09,2.850000,2.920000,2.810000,2.840000,2.840000,7183100
2018-04-10,2.910000,3.190000,2.890000,3.110000,3.110000,16600100
2018-04-11,3.140000,3.230000,2.950000,3.000000,3.000000,15889100
2018-04-12,3.010000,3.050000,2.870000,2.970000,2.970000,11637900
2018-04-13,3.000000,3.030000,2.910000,2.950000,2.950000,6354200
2018-04-16,2.940000,2.980000,2.900000,2.960000,2.960000,5281500
2018-04-17,2.940000,2.940000,2.810000,2.840000,2.840000,9134100
2018-04-18,2.900000,3.220000,2.900000,3.140000,3.140000,14888900
2018-04-19,3.270000,3.330000,3.090000,3.150000,3.150000,10993800
2018-04-20,3.160000,3.160000,3.020000,3.100000,3.100000,5620200
2018-04-23,3.090000,3.200000,3.030000,3.190000,3.190000,5219500
2018-04-24,3.210000,3.310000,3.180000,3.240000,3.240000,11062300
2018-04-25,3.200000,3.230000,3.120000,3.190000,3.190000,8218300
2018-04-26,3.220000,3.320000,3.200000,3.320000,3.320000,7041000
2018-04-27,3.300000,3.340000,3.190000,3.230000,3.230000,6967900
2018-04-30,3.190000,3.300000,3.160000,3.290000,3.290000,9540200
2018-05-01,3.260000,3.290000,3.170000,3.260000,3.260000,9031800
2018-05-02,3.260000,3.400000,3.230000,3.400000,3.400000,7960000
2018-05-03,3.390000,3.430000,3.260000,3.280000,3.280000,7808300
2018-05-04,3.280000,3.480000,3.250000,3.400000,3.400000,10530800
2018-05-07,3.550000,3.680000,3.400000,3.420000,3.420000,15213100
2018-05-08,3.410000,3.460000,3.080000,3.400000,3.400000,18023700
2018-05-09,3.500000,3.850000,3.500000,3.790000,3.790000,16259100
2018-05-10,3.840000,3.890000,3.670000,3.770000,3.770000,12588900
2018-05-11,3.790000,3.860000,3.760000,3.800000,3.800000,11490300
2018-05-14,3.800000,3.900000,3.720000,3.790000,3.790000,9455500
2018-05-15,3.800000,3.830000,3.720000,3.800000,3.800000,9115300
2018-05-16,3.810000,3.960000,3.760000,3.920000,3.920000,10907900
2018-05-17,3.980000,4.200000,3.940000,4.090000,4.090000,14307900
2018-05-18,4.120000,4.230000,4.080000,4.130000,4.130000,10831600
2018-05-21,4.210000,4.540000,4.210000,4.480000,4.480000,18143900
2018-05-22,4.690000,4.750000,4.270000,4.290000,4.290000,25610300
2018-05-23,4.190000,4.400000,4.070000,4.330000,4.330000,15590100
2018-05-24,4.250000,4.250000,4.110000,4.210000,4.210000,11720500
2018-05-25,3.960000,3.980000,3.710000,3.890000,3.890000,14759000
2018-05-29,3.720000,4.130000,3.700000,4.050000,4.050000,13209100
2018-05-30,4.130000,4.320000,4.090000,4.290000,4.290000,16474700
2018-05-31,4.210000,4.350000,4.190000,4.250000,4.250000,10351400
2018-06-01,4.240000,4.390000,4.240000,4.280000,4.280000,10690000
2018-06-04,4.340000,4.380000,4.140000,4.210000,4.210000,9280700
2018-06-05,4.150000,4.300000,4.030000,4.240000,4.240000,10536700
2018-06-06,4.230000,4.350000,4.200000,4.290000,4.290000,7055800
2018-06-07,4.360000,4.460000,4.320000,4.450000,4.450000,9852400
2018-06-08,4.460000,4.470000,4.300000,4.390000,4.390000,9035700
2018-06-11,4.300000,4.430000,4.230000,4.350000,4.350000,9385500
2018-06-12,4.350000,4.470000,4.240000,4.280000,4.280000,9715500
2018-06-13,4.260000,4.310000,4.120000,4.180000,4.180000,9515200
2018-06-14,4.250000,4.290000,4.030000,4.060000,4.060000,10128300
2018-06-15,4.010000,4.060000,3.800000,3.820000,3.820000,15594900
2018-06-18,3.890000,4.140000,3.840000,4.020000,4.020000,13498800
2018-06-19,3.910000,4.130000,3.910000,4.120000,4.120000,10605900
2018-06-20,4.210000,4.590000,4.170000,4.560000,4.560000,17783400
2018-06-21,4.450000,4.470000,4.240000,4.240000,4.240000,12145500
2018-06-22,4.590000,4.870000,4.530000,4.720000,4.720000,27511500
2018-06-25,4.740000,4.750000,4.420000,4.470000,4.470000,12579900
2018-06-26,4.530000,4.740000,4.430000,4.690000,4.690000,11178500
2018-06-27,4.800000,5.200000,4.790000,4.880000,4.880000,19433600
2018-06-28,4.910000,4.970000,4.720000,4.810000,4.810000,11685200
2018-06-29,4.860000,5.050000,4.770000,4.810000,4.810000,11895500
2018-07-02,4.730000,4.730000,4.510000,4.600000,4.600000,10221100
2018-07-03,4.750000,4.910000,4.610000,4.740000,4.740000,8722700
2018-07-05,4.760000,4.820000,4.700000,4.780000,4.780000,7877700
2018-07-06,4.700000,4.930000,4.650000,4.920000,4.920000,8965400
2018-07-09,4.970000,5.220000,4.880000,5.210000,5.210000,15512600
2018-07-10,5.360000,5.560000,5.180000,5.310000,5.310000,17126100
2018-07-11,5.150000,5.390000,4.970000,5.070000,5.070000,13748800
2018-07-12,5.110000,5.160000,4.930000,4.970000,4.970000,16868200
2018-07-13,4.990000,5.100000,4.870000,4.890000,4.890000,24164800
2018-07-16,4.730000,4.850000,4.400000,4.640000,4.640000,17589500
2018-07-17,4.570000,4.680000,4.510000,4.540000,4.540000,17846500
2018-07-18,4.500000,4.510000,4.260000,4.440000,4.440000,14492100
2018-07-19,4.430000,4.530000,4.410000,4.460000,4.460000,10341600
2018-07-20,4.480000,4.570000,4.280000,4.360000,4.360000,10665900
2018-07-23,4.420000,4.530000,4.400000,4.490000,4.490000,8339800
2018-07-24,4.580000,4.720000,4.510000,4.560000,4.560000,10291900
2018-07-25,4.620000,4.630000,4.460000,4.580000,4.580000,9801700
2018-07-26,4.560000,4.620000,4.490000,4.510000,4.510000,7982900
2018-07-27,4.500000,4.550000,4.190000,4.190000,4.190000,10935500
2018-07-30,4.340000,4.700000,4.330000,4.680000,4.680000,12803700
2018-07-31,4.600000,4.680000,4.460000,4.510000,4.510000,9636100
2018-08-01,4.450000,4.500000,4.320000,4.460000,4.460000,11185300
2018-08-02,4.420000,4.560000,4.380000,4.500000,4.500000,9101400
2018-08-03,4.480000,4.580000,4.390000,4.410000,4.410000,6954500
2018-08-06,4.470000,4.550000,4.400000,4.470000,4.470000,7983100
2018-08-07,4.680000,4.810000,4.400000,4.480000,4.480000,14849100
2018-08-08,4.410000,4.450000,4.230000,4.260000,4.260000,11425300
2018-08-09,4.240000,4.330000,4.230000,4.270000,4.270000,10425600
2018-08-10,4.270000,4.540000,4.230000,4.480000,4.480000,7815400
2018-08-13,4.460000,4.640000,4.390000,4.580000,4.580000,9690600
2018-08-14,4.700000,4.750000,4.540000,4.700000,4.700000,10895400
2018-08-15,4.640000,4.650000,4.230000,4.410000,4.410000,10053300
2018-08-16,4.440000,4.510000,4.370000,4.480000,4.480000,5133100
2018-08-17,4.520000,4.580000,4.420000,4.500000,4.500000,7257000
2018-08-20,4.480000,4.790000,4.460000,4.740000,4.740000,11201700
2018-08-21,4.820000,4.980000,4.810000,4.940000,4.940000,14230500
2018-08-22,5.100000,5.160000,4.920000,5.000000,5.000000,15110600
2018-08-23,4.900000,5.070000,4.760000,5.060000,5.060000,8735800
2018-08-24,5.140000,5.240000,5.110000,5.220000,5.220000,9800200
2018-08-27,5.250000,5.380000,5.220000,5.350000,5.350000,10244800
2018-08-28,5.370000,5.400000,5.150000,5.230000,5.230000,7818100
2018-08-29,5.290000,5.450000,5.200000,5.400000,5.400000,10306900
2018-08-30,5.400000,5.650000,5.400000,5.610000,5.610000,11497600
2018-08-31,5.570000,5.610000,5.410000,5.570000,5.570000,13407100
2018-09-04,5.760000,5.840000,5.370000,5.400000,5.400000,16009900
2018-09-05,5.310000,5.480000,5.110000,5.370000,5.370000,12030700
2018-09-06,5.380000,5.410000,5.010000,5.140000,5.140000,9858200
2018-09-07,5.050000,5.070000,4.900000,5.060000,5.060000,8392100
2018-09-10,5.150000,5.250000,5.070000,5.200000,5.200000,9063300
2018-09-11,5.170000,5.470000,5.160000,5.350000,5.350000,9778300
2018-09-12,5.480000,5.580000,5.370000,5.470000,5.470000,8881300
2018-09-13,5.400000,5.410000,5.090000,5.160000,5.160000,11449300
2018-09-14,5.160000,5.320000,5.160000,5.280000,5.280000,8994200
2018-09-17,5.340000,5.410000,5.230000,5.290000,5.290000,7235000
2018-09-18,5.350000,5.490000,5.330000,5.390000,5.390000,6963200
2018-09-19,5.400000,5.590000,5.370000,5.590000,5.590000,8876800
2018-09-20,5.630000,5.690000,5.450000,5.540000,5.540000,8281200
2018-09-21,5.570000,5.640000,5.510000,5.590000,5.590000,22149300
2018-09-24,5.730000,6.230000,5.700000,6.150000,6.150000,27585700
2018-09-25,6.260000,6.390000,6.110000,6.210000,6.210000,14292500
2018-09-26,6.140000,6.240000,6.030000,6.140000,6.140000,7789700
2018-09-27,6.240000,6.300000,6.110000,6.170000,6.170000,6388000
2018-09-28,6.130000,6.330000,6.120000,6.200000,6.200000,8367700
2018-10-01,6.240000,6.270000,5.950000,6.150000,6.150000,12533000
2018-10-02,6.140000,6.170000,5.970000,6.050000,6.050000,7547100
2018-10-03,6.130000,6.660000,6.120000,6.610000,6.610000,21157400
2018-10-04,6.480000,6.700000,6.440000,6.480000,6.480000,12554900
2018-10-05,6.510000,6.620000,6.300000,6.460000,6.460000,9244700
2018-10-08,6.350000,6.500000,6.230000,6.350000,6.350000,8881000
2018-10-09,6.430000,6.750000,6.410000,6.510000,6.510000,12281100
2018-10-10,6.470000,6.540000,5.980000,5.980000,5.980000,13384700
2018-10-11,5.900000,6.000000,5.610000,5.630000,5.630000,15695800
2018-10-12,5.970000,5.970000,5.520000,5.720000,5.720000,9453400
2018-10-15,5.770000,5.870000,5.560000,5.710000,5.710000,9415500
2018-10-16,5.740000,5.910000,5.650000,5.870000,5.870000,7288100
2018-10-17,5.840000,5.870000,5.380000,5.480000,5.480000,12727600
2018-10-18,5.330000,5.440000,5.220000,5.330000,5.330000,10628200
2018-10-19,5.370000,5.510000,5.210000,5.260000,5.260000,7528000
2018-10-22,5.250000,5.290000,5.120000,5.260000,5.260000,5579300
2018-10-23,5.010000,5.010000,4.720000,4.880000,4.880000,10594600
2018-10-24,4.940000,4.970000,4.290000,4.300000,4.300000,11518400
2018-10-25,4.370000,4.650000,4.240000,4.520000,4.520000,10868500
2018-10-26,4.400000,4.490000,4.230000,4.350000,4.350000,8698900
2018-10-29,4.010000,4.030000,3.270000,3.320000,3.320000,39121200
2018-10-30,3.290000,3.380000,2.950000,3.360000,3.360000,31362800
2018-10-31,3.490000,3.670000,3.430000,3.450000,3.450000,15107200
2018-11-01,3.450000,3.490000,3.240000,3.370000,3.370000,18400200
2018-11-02,3.390000,3.450000,3.240000,3.270000,3.270000,11325800
2018-11-05,3.340000,3.590000,3.330000,3.530000,3.530000,14832400
2018-11-06,3.510000,3.570000,3.170000,3.190000,3.190000,17468100
2018-11-07,3.360000,3.370000,3.100000,3.220000,3.220000,13164900
2018-11-08,3.300000,3.320000,2.910000,2.990000,2.990000,21495300
2018-11-09,2.810000,2.980000,2.630000,2.950000,2.950000,21554700
2018-11-12,3.100000,3.130000,2.810000,2.820000,2.820000,13501000
2018-11-13,2.750000,2.880000,2.590000,2.600000,2.600000,24469500
2018-11-14,2.750000,2.910000,2.690000,2.730000,2.730000,24061300
2018-11-15,2.720000,2.750000,2.620000,2.660000,2.660000,14324500
2018-11-16,2.670000,2.750000,2.560000,2.580000,2.580000,15146000
2018-11-19,2.580000,2.580000,2.390000,2.450000,2.450000,13434700
2018-11-20,2.320000,2.370000,2.140000,2.240000,2.240000,17357600
2018-11-21,2.350000,2.420000,2.310000,2.380000,2.380000,8394300
2018-11-23,2.220000,2.260000,2.130000,2.190000,2.190000,7884600
2018-11-26,2.250000,2.340000,2.230000,2.260000,2.260000,7132400
2018-11-27,2.250000,2.350000,2.220000,2.290000,2.290000,12131000
2018-11-28,2.300000,2.430000,2.260000,2.350000,2.350000,16484500
2018-11-29,2.370000,2.470000,2.210000,2.310000,2.310000,18875300
2018-11-30,2.240000,2.300000,2.130000,2.260000,2.260000,16237400
2018-12-03,2.410000,2.510000,2.320000,2.510000,2.510000,16675600
2018-12-04,2.530000,2.550000,2.340000,2.350000,2.350000,12234700
2018-12-06,2.220000,2.280000,2.120000,2.180000,2.180000,13978000
2018-12-07,2.350000,2.520000,2.200000,2.230000,2.230000,12108800
2018-12-10,2.160000,2.220000,2.010000,2.080000,2.080000,12023000
2018-12-11,2.160000,2.220000,2.040000,2.100000,2.100000,9215600
2018-12-12,2.160000,2.250000,2.120000,2.170000,2.170000,9521200
2018-12-13,2.160000,2.240000,2.080000,2.200000,2.200000,8690800
2018-12-14,2.150000,2.150000,2.080000,2.080000,2.080000,10087600
2018-12-17,2.080000,2.170000,2.000000,2.000000,2.000000,9432100
2018-12-18,1.950000,1.970000,1.800000,1.810000,1.810000,17341700
2018-12-19,1.860000,1.930000,1.730000,1.760000,1.760000,11226300
2018-12-20,1.710000,1.810000,1.580000,1.660000,1.660000,16193300
2018-12-21,1.650000,1.680000,1.520000,1.550000,1.550000,37137100
2018-12-24,1.520000,1.540000,1.420000,1.430000,1.430000,9604100
2018-12-26,1.530000,1.790000,1.390000,1.770000,1.770000,24060700
2018-12-27,1.670000,1.780000,1.600000,1.770000,1.770000,12211200
2018-12-28,1.790000,1.870000,1.710000,1.720000,1.720000,13800200
2018-12-31,1.760000,1.780000,1.600000,1.710000,1.710000,14836300
2019-01-02,1.650000,1.980000,1.620000,1.960000,1.960000,18831700
2019-01-03,1.970000,2.080000,1.830000,1.970000,1.970000,17295100
2019-01-04,2.100000,2.200000,2.050000,2.190000,2.190000,17193600
2019-01-07,2.280000,2.290000,2.150000,2.200000,2.200000,17129900
2019-01-08,2.270000,2.280000,2.130000,2.190000,2.190000,16171500
2019-01-09,2.260000,2.280000,2.170000,2.230000,2.230000,14707600
2019-01-10,2.180000,2.300000,2.100000,2.290000,2.290000,9776000
2019-01-11,2.240000,2.270000,2.140000,2.170000,2.170000,10385000
2019-01-14,2.140000,2.240000,2.130000,2.150000,2.150000,11445600
2019-01-15,2.190000,2.210000,2.140000,2.190000,2.190000,10950500
2019-01-16,2.180000,2.270000,2.150000,2.170000,2.170000,11413000
2019-01-17,2.140000,2.200000,2.120000,2.180000,2.180000,7751100
2019-01-18,2.190000,2.270000,2.160000,2.240000,2.240000,8567400
2019-01-22,2.200000,2.210000,2.010000,2.040000,2.040000,12550700
